nombre,dia,horario,proporcion_diaria,proporcion_total
Lauty Gram | Omar Algo Anda Mal #3,sábado,tarde,37.531806615776084,4.761904761904762
Graduados - Tan Biónica,sábado,tarde,37.531806615776084,4.761904761904762
Lauty Gram | Omar Algo Anda Mal #3,sábado,tarde,37.531806615776084,4.761904761904762
Can't Hold Us (feat. Ray Dalton),sábado,tarde,37.531806615776084,4.761904761904762
"Sex, Drugs, Etc.",sábado,noche,43.89312977099237,5.569007263922518
suicide yr,sábado,noche,43.89312977099237,5.569007263922518
I Wanna Be Yours,sábado,noche,43.89312977099237,5.569007263922518
Softcore,sábado,noche,43.89312977099237,5.569007263922518
sure thing (sped up),sábado,noche,43.89312977099237,5.569007263922518
Lauty Gram | Omar Algo Anda Mal #3,sábado,noche,43.89312977099237,5.569007263922518
Heat Waves,sábado,noche,43.89312977099237,5.569007263922518
Lost in the Fire (feat. The Weeknd),sábado,noche,43.89312977099237,5.569007263922518
RON COLA,sábado,noche,43.89312977099237,5.569007263922518
Warriors,sábado,noche,43.89312977099237,5.569007263922518
Warriors,sábado,noche,43.89312977099237,5.569007263922518
Ramenez la coupe à la maison,sábado,noche,43.89312977099237,5.569007263922518
Don't Stop Me Now - Remastered 2011,sábado,noche,43.89312977099237,5.569007263922518
Olé Olé (feat. Ronaldinho Gaúcho),sábado,noche,43.89312977099237,5.569007263922518
RON COLA,domingo,noche,37.84860557768924,4.600484261501211
Puti Short,domingo,noche,37.84860557768924,4.600484261501211
Puti Short,domingo,noche,37.84860557768924,4.600484261501211
Ahi Ahi Ahi - Rkt,domingo,noche,37.84860557768924,4.600484261501211
Summertime Sadness,domingo,noche,37.84860557768924,4.600484261501211
Olé Olé (feat. Ronaldinho Gaúcho),domingo,noche,37.84860557768924,4.600484261501211
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],domingo,noche,37.84860557768924,4.600484261501211
Warriors,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
Lauty Gram | Omar Algo Anda Mal #3,domingo,mañana,17.66268260292165,2.1468926553672314
"Sex, Drugs, Etc.",domingo,mañana,17.66268260292165,2.1468926553672314
Graduados - Tan Biónica,domingo,mañana,17.66268260292165,2.1468926553672314
Graduados - Tan Biónica,domingo,mañana,17.66268260292165,2.1468926553672314
